theme,rank,title,award,is_oral,public_total_votes,visits_last_7_days,github_stars,score,official_topic,url,alphaxiv_url
"Agents, tools, and computer use",12,On Computation and Reinforcement Learning,,true,11,4,168,2.5449,Reinforcement Learning->Deep RL,https://icml.cc/virtual/2026/poster/65047,https://www.alphaxiv.org/abs/2602.05999
"Systems, efficiency, and compression",1,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models,Outstanding Paper Award,true,92,588,212,7.6736,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/61998,https://www.alphaxiv.org/abs/2601.15165
"Systems, efficiency, and compression",2,From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model,,true,14,39,5069,3.288,Applications->Robotics,https://icml.cc/virtual/2026/poster/66596,https://www.alphaxiv.org/abs/2605.22671
"Systems, efficiency, and compression",3,WeDLM: Reconciling Diffusion Language Models with Standard Causal Attention for Fast Inference,,true,60,17,644,2.8889,,https://icml.cc/virtual/2026/poster/64095,https://www.alphaxiv.org/abs/2512.22737
"Systems, efficiency, and compression",4,Reinforcement Learning via Self-Distillation,,false,718,334,1008,2.7426,Deep Learning->Algorithms,https://icml.cc/virtual/2026/poster/64121,https://www.alphaxiv.org/abs/2601.20802
"Systems, efficiency, and compression",5,Controlled LLM Training on Spectral Sphere,,true,115,42,130,2.6732,"Optimization->Large Scale, Parallel and Distributed",https://icml.cc/virtual/2026/poster/66212,https://www.alphaxiv.org/abs/2601.08393
"Systems, efficiency, and compression",6,SoftJAX & SoftTorch: Empowering Automatic Differentiation Libraries with Informative Gradients,,true,12,0,88,2.411,General Machine Learning->Hardware and Software,https://icml.cc/virtual/2026/poster/64057,https://www.alphaxiv.org/abs/2603.08824
"Systems, efficiency, and compression",7,ThreadWeaver: Adaptive Threading for Efficient Parallel Reasoning in Language Models,,true,12,27,66,2.4001,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/65330,https://www.alphaxiv.org/abs/2512.07843
"Systems, efficiency, and compression",8,Self-Distilled Reasoner: On-Policy Self-Distillation for Large Language Models,,false,351,415,463,2.3205,,https://icml.cc/virtual/2026/poster/64784,https://www.alphaxiv.org/abs/2601.18734
"Systems, efficiency, and compression",9,Any-Order GPT as Masked Diffusion Model: Decoupling Formulation and Architecture,,true,37,11,36,2.2817,Deep Learning->Generative Models and Autoencoders,https://icml.cc/virtual/2026/poster/61245,https://www.alphaxiv.org/abs/2506.19935
"Systems, efficiency, and compression",10,mHC: Manifold-Constrained Hyper-Connections,,false,696,173,367,2.2428,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/61870,https://www.alphaxiv.org/abs/2512.24880
"Systems, efficiency, and compression",11,CLEAR: Context-Aware Learning with End-to-End Mask-Free Inference for Adaptive Subtitle Removal,,true,2,4,20,2.1179,Applications->Computer Vision,https://icml.cc/virtual/2026/poster/65005,https://www.alphaxiv.org/abs/2603.21901
"Systems, efficiency, and compression",12,"Characterizing, Evaluating, and Optimizing Complex Reasoning",,true,13,8,17,2.106,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/64958,https://www.alphaxiv.org/abs/2602.08498
"Multimodal, vision-language, and video",1,Motion Attribution for Video Generation,Outstanding Paper Honorable Mention,true,67,208,0,5.9276,Deep Learning->Foundation Models,https://icml.cc/virtual/2026/poster/60542,https://www.alphaxiv.org/abs/2601.08828
"Multimodal, vision-language, and video",2,A Random Matrix Perspective on the Consistency of Diffusion Models,Outstanding Paper Honorable Mention,true,14,96,0,5.6787,Deep Learning->Generative Models and Autoencoders,https://icml.cc/virtual/2026/poster/62241,https://www.alphaxiv.org/abs/2602.02908
"Multimodal, vision-language, and video",3,Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII),Outstanding Position Paper Honorable Mention,true,0,0,0,5.5,Social Aspects->Safety,https://icml.cc/virtual/2026/poster/67084,
