canonical_institution,sector,paper_count,oral_count,award_count,public_total_votes,votes_per_paper,visits_last_7_days,unique_partner_count,collaboration_pagerank,top_topic_groups,top_themes,top_clusters,top_partners
"Beijing Institute of Technology, China",Academia,1,0,0,6,6.0,6,8,0.00011959,Applications (1),"Agents, tools, and computer use (1); Diffusion language models (1); LLM reasoning and test-time compute (1); Multimodal, vision-language, and video (1); Safety, alignment, governance, and risk (1)",4: visual / multimodal / reasoning / vision (1),"Beijing Institute of Technology (1); Beijing Jiaotong University (1); Beijing Meitu Home Technology Co., Ltd. (1); Meitu (1); Meitu Inc (1); Meitu inc (1); Tsinghua University (1); University of Birmingham (1)"
Bayerische Julius-Maximilians-Universität Würzburg,Other / unknown,1,0,0,44,44.0,14,2,0.00011956,Theory (1),"RL for LLMs and verifiable rewards (1); Theory, optimization, and sampling (1)",1: language / language models / llms / large language (1),CNRS (1); Julius-Maximilians-Universität Würzburg - CAIDAS (1)
"Particle Media, Inc",Other / unknown,1,0,0,9,9.0,0,5,0.00011951,Applications (1),"Causality and data-centric ML (1); Diffusion, flow, and generative modeling (1); Memorization, evaluation, and generalization (1); Multimodal, vision-language, and video (1); Systems, efficiency, and compression (1)",0: video / video generation / videos / temporal (1),"Arizona State University (1); Carnegie Mellon University (1); Newsbreak (1); Particle Media, Inc. (1); San Francisco State University (1)"
"Particle Media, Inc.",Other / unknown,1,0,0,9,9.0,0,5,0.00011951,Applications (1),"Causality and data-centric ML (1); Diffusion, flow, and generative modeling (1); Memorization, evaluation, and generalization (1); Multimodal, vision-language, and video (1); Systems, efficiency, and compression (1)",0: video / video generation / videos / temporal (1),"Arizona State University (1); Carnegie Mellon University (1); Newsbreak (1); Particle Media, Inc (1); San Francisco State University (1)"
San Francisco State University,Academia,1,0,0,9,9.0,0,5,0.00011951,Applications (1),"Causality and data-centric ML (1); Diffusion, flow, and generative modeling (1); Memorization, evaluation, and generalization (1); Multimodal, vision-language, and video (1); Systems, efficiency, and compression (1)",0: video / video generation / videos / temporal (1),"Arizona State University (1); Carnegie Mellon University (1); Newsbreak (1); Particle Media, Inc (1); Particle Media, Inc. (1)"
UPC,Other / unknown,1,0,0,0,0.0,0,2,0.00011871,Social Aspects (1),"LLM reasoning and test-time compute (1); RL for LLMs and verifiable rewards (1); Safety, alignment, governance, and risk (1)",28: position / ai / position paper / argues (1),Trustworthy AI - Barcelona Supercomputing Center (1); Universitat Politècnica de Catalunya (UPC) (1)
Universitat Politècnica de Catalunya (UPC),Other / unknown,1,0,0,0,0.0,0,2,0.00011871,Social Aspects (1),"LLM reasoning and test-time compute (1); RL for LLMs and verifiable rewards (1); Safety, alignment, governance, and risk (1)",28: position / ai / position paper / argues (1),Trustworthy AI - Barcelona Supercomputing Center (1); UPC (1)
Kean University,Academia,1,0,0,13,13.0,0,6,0.00011845,Deep Learning (1),"Agents, tools, and computer use (1); LLM reasoning and test-time compute (1); Memorization, evaluation, and generalization (1); RL for LLMs and verifiable rewards (1); Theory, optimization, and sampling (1)",6: reasoning / reinforcement / rl / reinforcement learning (1),"Case Western Reserve University (1); Fudan University (1); North Carolina State Univeristy (1); Ohio State University, Columbus (1); University of Hong Kong (1); Wenzhou-Kean University (1)"
Research Center Juelich,Other / unknown,1,0,0,2,2.0,4,3,0.00011833,Deep Learning (1),"LLM reasoning and test-time compute (1); Memorization, evaluation, and generalization (1); Theory, optimization, and sampling (1)",14: attention / transformers / transformer / context (1),Forschungszentrum Juelich GmbH (1); Research Center Juelich and RWTH Aachen (1); Rheinisch Westfälische Technische Hochschule Aachen (1)
Research Center Juelich and RWTH Aachen,Other / unknown,1,0,0,2,2.0,4,3,0.00011833,Deep Learning (1),"LLM reasoning and test-time compute (1); Memorization, evaluation, and generalization (1); Theory, optimization, and sampling (1)",14: attention / transformers / transformer / context (1),Forschungszentrum Juelich GmbH (1); Research Center Juelich (1); Rheinisch Westfälische Technische Hochschule Aachen (1)
Black Forest Labs,Other / unknown,1,0,0,64,64.0,62,6,0.00011819,Deep Learning (1),"Diffusion, flow, and generative modeling (1); Multimodal, vision-language, and video (1); Theory, optimization, and sampling (1)",3: diffusion / generative / diffusion models / generative models (1),Ludwig-Maximilians-Universität München (1); MIT (1); Meta (1); Stealth AI GmbH (1); Unbekannt (1); Universität Stuttgart (1)
Stealth AI GmbH,Other / unknown,1,0,0,64,64.0,62,6,0.00011819,Deep Learning (1),"Diffusion, flow, and generative modeling (1); Multimodal, vision-language, and video (1); Theory, optimization, and sampling (1)",3: diffusion / generative / diffusion models / generative models (1),Black Forest Labs (1); Ludwig-Maximilians-Universität München (1); MIT (1); Meta (1); Unbekannt (1); Universität Stuttgart (1)
Unbekannt,Other / unknown,1,0,0,64,64.0,62,6,0.00011819,Deep Learning (1),"Diffusion, flow, and generative modeling (1); Multimodal, vision-language, and video (1); Theory, optimization, and sampling (1)",3: diffusion / generative / diffusion models / generative models (1),Black Forest Labs (1); Ludwig-Maximilians-Universität München (1); MIT (1); Meta (1); Stealth AI GmbH (1); Universität Stuttgart (1)
Mango Sciences,Other / unknown,1,0,0,0,0.0,0,4,0.00011816,Social Aspects (1),"AI for science, health, and biology (1); Safety, alignment, governance, and risk (1)",28: position / ai / position paper / argues (1),"Carnegie Mellon University (1); Indian Institute of Science (1); Indian Institute of Science, Bangalore (1); UCSB (1)"
Cybernetic Labs,Other / unknown,1,0,0,57,57.0,62,8,0.00011802,General Machine Learning (1),"Agents, tools, and computer use (1); LLM reasoning and test-time compute (1); Memorization, evaluation, and generalization (1)",11: agent / agents / multi agent / multi (1),ETH Zurich (1); Google (1); OpenAI (1); Scale AI (1); Stanford University (1); Tiny Fish Inc. (1); UC Berkeley (1); University of Washington (1)
Tiny Fish Inc.,Other / unknown,1,0,0,57,57.0,62,8,0.00011802,General Machine Learning (1),"Agents, tools, and computer use (1); LLM reasoning and test-time compute (1); Memorization, evaluation, and generalization (1)",11: agent / agents / multi agent / multi (1),Cybernetic Labs (1); ETH Zurich (1); Google (1); OpenAI (1); Scale AI (1); Stanford University (1); UC Berkeley (1); University of Washington (1)
Skolkovo Institute of Science and Technology,Other / unknown,1,0,0,0,0.0,0,3,0.00011794,Deep Learning (1),Causality and data-centric ML (1),5: graph / graph neural / networks / neural networks (1),"Yandex (1); Yandex Research (1); Yandex Research, HSE (1)"
"Yandex Research, HSE",Other / unknown,1,0,0,0,0.0,0,3,0.00011794,Deep Learning (1),Causality and data-centric ML (1),5: graph / graph neural / networks / neural networks (1),Skolkovo Institute of Science and Technology (1); Yandex (1); Yandex Research (1)
Chung-Ang university,Academia,1,0,0,0,0.0,0,2,0.00011743,General Machine Learning (1),"Agents, tools, and computer use (1); Interpretability and mechanistic analysis (1); Safety, alignment, governance, and risk (1)",20: code / anonymous / 4open science / 4open (1),Chung-Ang University (1); TTA (1)
TTA,Other / unknown,1,0,0,0,0.0,0,2,0.00011743,General Machine Learning (1),"Agents, tools, and computer use (1); Interpretability and mechanistic analysis (1); Safety, alignment, governance, and risk (1)",20: code / anonymous / 4open science / 4open (1),Chung-Ang University (1); Chung-Ang university (1)
Calici,Other / unknown,1,0,0,4,4.0,4,5,0.00011732,Deep Learning (1),"AI for science, health, and biology (1); Diffusion, flow, and generative modeling (1); LLM reasoning and test-time compute (1); Multimodal, vision-language, and video (1); RL for LLMs and verifiable rewards (1)",3: diffusion / generative / diffusion models / generative models (1),KAIST (1); Korea University (1); OGQ · SNU (1); Samsung (1); Seoul National University (1)
OGQ · SNU,Other / unknown,1,0,0,4,4.0,4,5,0.00011732,Deep Learning (1),"AI for science, health, and biology (1); Diffusion, flow, and generative modeling (1); LLM reasoning and test-time compute (1); Multimodal, vision-language, and video (1); RL for LLMs and verifiable rewards (1)",3: diffusion / generative / diffusion models / generative models (1),Calici (1); KAIST (1); Korea University (1); Samsung (1); Seoul National University (1)
Cogent labs,Other / unknown,1,0,0,18,18.0,5,4,0.00011718,Social Aspects (1),"Memorization, evaluation, and generalization (1); Safety, alignment, governance, and risk (1)",1: language / language models / llms / large language (1),Apta (1); CISPA Helmholtz (1); Indian Statistical Institute (1); SPAR (1)
Indian Statistical Institute,Other / unknown,1,0,0,18,18.0,5,4,0.00011718,Social Aspects (1),"Memorization, evaluation, and generalization (1); Safety, alignment, governance, and risk (1)",1: language / language models / llms / large language (1),Apta (1); CISPA Helmholtz (1); Cogent labs (1); SPAR (1)
SPAR,Other / unknown,1,0,0,18,18.0,5,4,0.00011718,Social Aspects (1),"Memorization, evaluation, and generalization (1); Safety, alignment, governance, and risk (1)",1: language / language models / llms / large language (1),Apta (1); CISPA Helmholtz (1); Cogent labs (1); Indian Statistical Institute (1)
Mount Holyoke College,Academia,1,0,0,8,8.0,0,7,0.00011708,Deep Learning (1),"Interpretability and mechanistic analysis (1); LLM reasoning and test-time compute (1); Memorization, evaluation, and generalization (1); RL for LLMs and verifiable rewards (1)",1: language / language models / llms / large language (1),"Columbia University (1); Emory University (1); Harvey Mudd College (1); Microsoft (1); Rice University (1); TU Berlin (1); University of California, Los Angeles (1)"
J.P Morgan,Other / unknown,1,0,0,2,2.0,0,2,0.00011706,Probabilistic Methods (1),"AI for science, health, and biology (1); Diffusion, flow, and generative modeling (1); LLM reasoning and test-time compute (1); Systems, efficiency, and compression (1); Theory, optimization, and sampling (1)",13: scaling / test time / test / time (1),JPMorgan (1); JPMorganChase (1)
IRT Saint Exupéry & IRIT (Toulouse),Other / unknown,1,0,0,1,1.0,0,3,0.00011698,Deep Learning (1),Interpretability and mechanistic analysis (1); LLM reasoning and test-time compute (1),1: language / language models / llms / large language (1),Centrale Supélec (1); CentraleSupélec (1); Mila (1)
TSMC,Other / unknown,1,0,0,11,11.0,4,7,0.00011694,Deep Learning (1),"LLM reasoning and test-time compute (1); Systems, efficiency, and compression (1)",12: tuning / fine tuning / fine / lora (1),Adobe (1); Florida State University (1); Georgia Tech (1); University of Central Florida (1); University of Florida (1); University of Notre Dame (1); University of Pennsylvania (1)
Leonardo SpA,Other / unknown,1,0,0,0,0.0,0,4,0.00011661,Applications (1),"AI for science, health, and biology (1); Agents, tools, and computer use (1); Interpretability and mechanistic analysis (1); Memorization, evaluation, and generalization (1)",25: cross / semantic / label / extensive (1),"EPITA Lyon (1); Sapienza University of Rome (1); Sony AI (1); University of Roma ""La Sapienza"" (1)"
Atomwise,Other / unknown,1,0,0,2,2.0,0,3,0.00011647,Applications (1),"AI for science, health, and biology (1); Memorization, evaluation, and generalization (1)",17: representation / machine learning / machine / general (1),Atomwise Inc. (1); NVIDIA (1); insitro (1)
Atomwise Inc.,Other / unknown,1,0,0,2,2.0,0,3,0.00011647,Applications (1),"AI for science, health, and biology (1); Memorization, evaluation, and generalization (1)",17: representation / machine learning / machine / general (1),Atomwise (1); NVIDIA (1); insitro (1)
insitro,Other / unknown,1,0,0,2,2.0,0,3,0.00011647,Applications (1),"AI for science, health, and biology (1); Memorization, evaluation, and generalization (1)",17: representation / machine learning / machine / general (1),Atomwise (1); Atomwise Inc. (1); NVIDIA (1)
